timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
56528000,0,-0.00011468165,-0.00417209,0.00014155597,0.0,0.0,0.0
56536000,0,2.4411922e-05,-0.0037633402,0.0001635014,0.0,0.0,0.0
56548000,0,0.00027182515,-0.00419729,0.00016566033,0.0,0.0,0.0
56556000,0,0.00018730525,-0.004316134,0.00013937356,0.0,0.0,0.0
56568000,0,-0.00053549826,-0.0043529654,7.805336e-05,0.0,0.0,0.0
56576000,0,-0.00091056636,-0.0037796926,3.6893918e-05,0.0,0.0,0.0
56588000,0,-0.0012338095,-0.003459943,-3.4879053e-05,0.0,0.0,0.0
56596000,0,-0.0009790113,-0.0032605666,-0.00017061985,0.0,0.0,0.0
56608000,0,-0.0008075496,-0.0026383344,-0.00032120987,0.0,0.0,0.0
56616000,0,-0.00065106445,-0.002310262,-0.00032040445,0.0,0.0,0.0
56628000,0,-4.4586617e-05,-0.0021098824,-0.00023524345,0.0,0.0,0.0
56636000,0,0.000108822656,-0.0017663325,-0.00021243602,0.0,0.0,0.0
56648000,0,9.113453e-05,-0.0010114852,-0.00021023757,0.0,0.0,0.0
56656000,0,0.00015124015,-0.00067603396,-0.0001961598,0.0,0.0,0.0
56668000,0,-0.0003938105,-0.00035566976,-0.00024350853,0.0,0.0,0.0
56676000,0,-0.00076694373,3.4477085e-05,-0.00025447863,0.0,0.0,0.0
56688000,0,-0.0013379008,9.361283e-05,-0.0002308782,0.0,0.0,0.0
56696000,0,-0.0013692084,-4.1573854e-05,-0.00019355724,0.0,0.0,0.0
56708000,0,-0.0014556805,0.00042135295,-0.00020456455,0.0,0.0,0.0
56716000,0,-0.001597262,0.00086880743,-0.00022524523,0.0,0.0,0.0
56728000,0,-0.0017634861,0.0009613805,-0.00022608614,0.0,0.0,0.0
56736000,0,-0.0019299272,0.0008074943,-0.00024133276,0.0,0.0,0.0
56748000,0,-0.0019250077,0.0006637321,-0.0002617292,0.0,0.0,0.0
56756000,0,-0.0016565396,0.00073792896,-0.00027907907,0.0,0.0,0.0
56768000,0,-0.0009856507,0.0013360188,-0.00028970663,0.0,0.0,0.0
56776000,0,-0.00036960357,0.0016785994,-0.00026288076,0.0,0.0,0.0
56788000,0,0.00012665738,0.0019456033,-0.00024012916,0.0,0.0,0.0
56796000,0,0.0003212464,0.0018072372,-0.00023668024,0.0,0.0,0.0
56808000,0,0.00085977314,0.00082596537,-0.0001884743,0.0,0.0,0.0
56816000,0,0.0010581523,0.000103167586,-0.0002200658,0.0,0.0,0.0
56828000,0,0.0012740489,-0.00044640468,-0.00030873893,0.0,0.0,0.0
56836000,0,0.0014005487,-0.00042247653,-0.0002834085,0.0,0.0,0.0
56848000,0,0.0016270922,-0.0005903326,-0.00017740436,0.0,0.0,0.0
56856000,0,0.0012084143,-0.0008206489,-0.00018348683,0.0,0.0,0.0
56868000,0,0.00020979079,-0.0012994502,-0.00024924762,0.0,0.0,0.0
56876000,0,-0.00019547305,-0.00150704,-0.00028549993,0.0,0.0,0.0
56888000,0,-0.00074256834,-0.0012235898,-0.00039405504,0.0,0.0,0.0
56896000,0,-0.0007419086,-0.0011086983,-0.00044804707,0.0,0.0,0.0
56908000,0,-0.00082206854,-0.0006710102,-0.00044640445,0.0,0.0,0.0
