timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4],yaw_composite_valid
41240000,41160000,-2.7912757,3.6252024,-2.5134296,-1.2572882,-0.0002021133,1.2572082,2.5138745,-0.020700943,-0.0067730695,0.008234981,0.0035547856,-0.014330335,-0.003971575,-0.015212211,-0.0054313606,0.011866024,0.012749578,0.20033349,0.20001243,0.19967437,0.19978616,0.20019346,0
41248000,41168000,-2.7912958,3.6252086,-2.51344,-1.2572984,-0.00021231016,1.257198,2.5138645,-0.020700943,-0.0067730695,0.008234981,0.0035547856,-0.014330335,-0.003971575,-0.015212211,-0.0054313606,0.011866024,0.012749578,0.20033349,0.20001243,0.19967437,0.19978616,0.20019346,0
41256000,41176000,-2.7913132,3.6252224,-2.5134335,-1.2572919,-0.00020584137,1.2572045,2.513871,-0.020700943,-0.0067730695,0.008234981,0.0035547856,-0.014330335,-0.003971575,-0.015212211,-0.0054313606,0.011866024,0.012749578,0.20033349,0.20001243,0.19967437,0.19978616,0.20019346,0
41264000,41184000,-2.7913032,3.6252182,-2.5134323,-1.2572907,-0.00020469769,1.2572056,2.5138721,-0.020700943,-0.0067730695,0.008234981,0.0035547856,-0.014330335,-0.003971575,-0.015212211,-0.0054313606,0.011866024,0.012749578,0.20033349,0.20001243,0.19967437,0.19978616,0.20019346,0
41272000,41192000,-2.7912757,3.6252043,-2.5134304,-1.2572888,-0.00020277694,1.2572075,2.513874,-0.020700943,-0.0067730695,0.008234981,0.0035547856,-0.014330335,-0.003971575,-0.015212211,-0.0054313606,0.011866024,0.012749578,0.20033349,0.20001243,0.19967437,0.19978616,0.20019346,0
41280000,41200000,-2.7913175,3.625218,-2.513449,-1.2573074,-0.00022128678,1.257189,2.5138555,-0.020700943,-0.0067730695,0.008234981,0.0035547856,-0.014330335,-0.003971575,-0.015212211,-0.0054313606,0.011866024,0.012749578,0.20033349,0.20001243,0.19967437,0.19978616,0.20019346,0
41288000,41208000,-2.791328,3.6252217,-2.513454,-1.2573124,-0.00022640705,1.2571839,2.5138502,-0.020700943,-0.0067730695,0.008234981,0.0035547856,-0.014330335,-0.003971575,-0.015212211,-0.0054313606,0.011866024,0.012749578,0.20033349,0.20001243,0.19967437,0.19978616,0.20019346,0
41296000,41216000,-2.7912974,3.6252143,-2.5134382,-1.2572966,-0.00021060454,1.2571998,2.5138662,-0.020700943,-0.0067730695,0.008234981,0.0035547856,-0.014330335,-0.003971575,-0.015212211,-0.0054313606,0.011866024,0.012749578,0.20033349,0.20001243,0.19967437,0.19978616,0.20019346,0
41304000,41224000,-2.7912843,3.6252124,-2.5134299,-1.2572883,-0.0002022538,1.2572081,2.5138745,-0.020700943,-0.0067730695,0.008234981,0.0035547856,-0.014330335,-0.003971575,-0.015212211,-0.0054313606,0.011866024,0.012749578,0.20033349,0.20001243,0.19967437,0.19978616,0.20019346,0
41312000,41232000,-2.7912512,3.6251998,-2.51342,-1.2572784,-0.00019247002,1.2572179,2.5138843,-0.020700943,-0.0067730695,0.008234981,0.0035547856,-0.014330335,-0.003971575,-0.015212211,-0.0054313606,0.011866024,0.012749578,0.20033349,0.20001243,0.19967437,0.19978616,0.20019346,0
