timestamp,timestamp_sample,time_last_fuse,device_id,observation,observation_variance,innovation,innovation_variance,test_ratio,estimator_instance,fusion_enabled,innovation_rejected,fused
65808000,65686000,65728000,0,-2.153839,1.0,0.107373,1.1150656,0.0004135707,0,1,0,1
66208000,66090000,66128000,0,-2.1488342,1.0,0.10336089,1.1147857,0.00038333732,0,1,0,1
66608000,66490000,66528000,0,-2.152832,1.0,0.10725975,1.1144804,0.00041291545,0,1,0,1
67008000,66890000,66928000,0,-2.1418457,1.0,0.09731054,1.1152253,0.0003396387,0,1,0,1
67408000,67290000,67328000,0,-2.1298218,1.0,0.09141779,1.1148871,0.00029984067,0,1,0,1
67808000,67690000,67728000,0,-2.1198425,1.0,0.09212279,1.1145402,0.00030457793,0,1,0,1
68208000,68086000,68128000,0,-2.1218262,1.0,0.09423709,1.115257,0.00031851418,0,1,0,1
68608000,68490000,68528000,0,-2.1028442,1.0,0.074512005,1.1148998,0.0001991942,0,1,0,1
69008000,68890000,68928000,0,-2.0878296,1.0,0.061472416,1.1145412,0.00013562021,0,1,0,1
69408000,69290000,69328000,0,-2.080841,1.0,0.05984378,1.1152517,0.00012844734,0,1,0,1
69808000,69690000,69728000,0,-2.0568237,1.0,0.055098772,1.1148916,0.00010892088,0,1,0,1
70208000,70086000,70128000,0,-2.0418396,1.0,0.05371642,1.114533,0.00010355742,0,1,0,1
70608000,70486000,70528000,0,-2.0188293,1.0,0.03509295,1.1152445,4.4170225e-05,0,1,0,1
71008000,70890000,70928000,0,-2.0168457,1.0,0.03593886,1.1148865,4.6340196e-05,0,1,0,1
71408000,71290000,71328000,0,-1.9958191,1.0,0.020918012,1.1145301,1.5703952e-05,0,1,0,1
71808000,71690000,71728000,0,-1.9888306,1.0,0.019166112,1.1152438,1.317523e-05,0,1,0,1
72208000,72090000,72128000,0,-1.9678345,1.0,0.004871249,1.1148877,8.513528e-07,0,1,0,1
72608000,72486000,72528000,0,-1.9598389,1.0,-0.00011181831,1.1145327,4.487382e-10,0,1,0,1
73008000,72890000,72928000,0,-1.9678345,1.0,0.0005646944,1.1152474,1.1437096e-08,0,1,0,1
73408000,73290000,73328000,0,-1.9598389,1.0,-0.009061217,1.1148919,2.9457801e-06,0,1,0,1
73808000,73690000,73728000,0,-1.9588318,1.0,-0.011648893,1.1145371,4.8700654e-06,0,1,0,1
74008000,73890000,73928000,0,-1.9538269,1.0,-0.013217211,1.1071383,6.3115754e-06,0,1,0,1
74408000,74290000,74328000,0,-1.9478455,1.0,-0.013774157,1.1080406,6.8491136e-06,0,1,0,1
74608000,74490000,74528000,0,-1.9438477,1.0,-0.012497902,1.1019377,5.6699237e-06,0,1,0,1
75008000,74886000,74928000,0,-1.9478455,1.0,-0.007108927,1.1036572,1.8316136e-06,0,1,0,1
75208000,75090000,75128000,0,-1.9428406,1.0,-0.010650516,1.0983919,4.130893e-06,0,1,0,1
75608000,75486000,75528000,0,-1.9458313,1.0,-0.02006948,1.1006815,1.4637623e-05,0,1,0,1
76008000,75886000,75928000,0,-1.9468384,1.0,-0.03126955,1.1035886,3.5440193e-05,0,1,0,1
76408000,76286000,76328000,0,-1.9538269,1.0,-0.026265264,1.1053958,2.4963512e-05,0,1,0,1
76808000,76686000,76728000,0,-1.9458313,1.0,-0.035087705,1.106923,4.4488985e-05,0,1,0,1
