timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
71792000,71792000,1204000,47.397742099999995,8.5455934,0.011369034,-0.022994742,-1.9822588,0.000249556,0.007715364,0.2608209,0.01340901,0.02340178,-0.014432106,-0.00058723165,0.01068239,0.028366301,0.01886324,-0.013985263,0.024392122,-0.025284475,1.5708616,0.0070251385,488.3202,2.428614,0.50308466,0.34471545,0.17879464,0.12089547,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
72296000,72296000,1204000,47.397742099999995,8.5455934,0.023050912,-0.016319482,-1.9749526,0.000249556,0.007715364,0.2608209,0.0038677796,0.021306302,-0.023469942,-0.0026264307,0.01068239,0.028366301,0.01886324,-0.00794485,0.009274401,-0.025773419,1.5706452,0.0070251385,488.3202,2.4213078,0.47012427,0.3269546,0.16557613,0.115458675,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
72792000,72792000,1204000,47.397742099999995,8.5455934,0.026935505,-0.015111753,-1.9710004,0.000249556,0.007715364,0.2608209,-0.008149344,0.018246954,-0.02944033,-0.004110087,0.01068239,0.028366301,0.01886324,-0.020004516,-0.010804243,-0.043286007,1.5706923,0.0070251385,488.3202,2.4173555,0.4802956,0.33175877,0.16979325,0.117082365,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
73296000,73296000,1204000,47.397742099999995,8.5455934,0.02311512,-0.009536933,-1.9757463,0.000249556,0.007715364,0.2608209,-0.010560072,0.01456727,-0.028967872,-0.006883633,0.01068239,0.028366301,0.01886324,0.0073961853,-0.013042386,0.019726342,1.5707978,0.0070251385,488.3202,2.4221015,0.4918348,0.3388041,0.17437007,0.119153045,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
73792000,73792000,1204000,47.397742099999995,8.5455934,0.023047244,-0.0014526652,-1.9748317,0.000249556,0.007715364,0.2608209,-0.009977141,0.011636881,-0.027114216,-0.0036248006,0.01068239,0.028366301,0.01886324,-0.0047755307,-0.019629396,0.0026142222,1.5703623,0.0070251385,488.3202,2.421187,0.5029686,0.34527642,0.17862153,0.121024676,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
74296000,74296000,1204000,47.397742099999995,8.5455934,0.016513485,0.0028813086,-1.9735264,0.000249556,0.007715364,0.2608209,-0.0103416145,0.0020825635,-0.028800642,-0.0037175561,0.01068239,0.028366301,0.01886324,0.0006745976,0.03297717,-0.040635463,1.5705253,0.0070251385,488.3202,2.4198816,0.47293243,0.32798555,0.16747183,0.11621108,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
74792000,74792000,1204000,47.397742099999995,8.5455934,0.0064034495,0.0017132579,-1.9644032,0.000249556,0.007715364,0.2608209,-0.005033162,-0.003879098,-0.032041468,0.0011606901,0.01068239,0.028366301,0.01886324,0.0206033,0.0060783345,-0.051292587,1.5706878,0.0070251385,488.3202,2.4107583,0.44940114,0.3149992,0.15915476,0.11265179,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
75296000,75296000,1204000,47.397742099999995,8.5455934,0.0048930724,0.0024075103,-1.96214,0.000249556,0.007715364,0.2608209,0.0018041069,-0.0034962273,-0.035720043,-0.0006468927,0.01068239,0.028366301,0.01886324,0.014706601,-0.029550893,0.025229527,1.5705602,0.0070251385,488.3202,2.4084952,0.4312957,0.30490783,0.15297112,0.10994905,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
75792000,75792000,1204000,47.397742099999995,8.5455934,0.001599953,0.007872042,-1.9688854,0.000249556,0.007715364,0.2608209,0.0010877717,-0.0016044865,-0.034325283,-0.005683483,0.01068239,0.028366301,0.01886324,0.018127698,0.025067389,0.016447155,1.5705965,0.0070251385,488.3202,2.4152405,0.44542253,0.3134377,0.16013671,0.11318158,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
76296000,76296000,1204000,47.397742099999995,8.5455934,-0.0073580216,0.011253828,-1.9793997,0.000249556,0.007715364,0.2608209,-0.0013664358,-0.00532659,-0.023273444,-0.003193805,0.01068239,0.028366301,0.01886324,0.041560646,0.0022274614,0.045693476,1.5706573,0.0070251385,488.3202,2.4257548,0.46114075,0.32374334,0.16710414,0.11649133,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
