timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
59792000,59792000,0.7,3.142663e-06,-0.13011143,1.000627,0.0018798194,1.0,1
59896000,59896000,0.7,3.1279233e-06,-0.113386914,1.0006258,0.0014276168,1.0,1
60000000,60000000,0.7,3.1133493e-06,-0.093275145,1.0006243,0.0009660916,1.0,1
60096000,60096000,0.7,3.1001666e-06,-0.09504209,1.0006177,0.0010030469,1.0,1
60192000,60192000,0.7,3.0872636e-06,-0.14316666,1.0006148,0.002276011,1.0,1
60296000,60296000,0.7,3.073538e-06,-0.14269048,1.0006099,0.0022609069,1.0,1
60392000,60392000,0.7,3.0610745e-06,-0.17649409,1.000609,0.0034590226,1.0,1
60496000,60496000,0.7,3.047643e-06,-0.12924446,1.0006105,0.0018548822,1.0,1
60592000,60592000,0.7,3.035326e-06,-0.11042481,1.0006101,0.0013540227,1.0,1
60696000,60696000,0.7,3.0221922e-06,-0.102052554,1.0006049,0.001156492,1.0,1
60792000,60792000,0.7,3.0103104e-06,-0.13201135,1.0006025,0.0019351671,1.0,1
60896000,60896000,0.7,2.9975872e-06,-0.12346302,1.0006016,0.0016926613,1.0,1
60992000,60992000,0.7,2.9859502e-06,-0.11768041,1.0006013,0.0015378174,1.0,1
61096000,61096000,0.7,2.9735158e-06,-0.10266809,1.0005972,0.0011704939,1.0,1
61200000,61200000,0.7,2.9613223e-06,-0.101866715,1.0005945,0.0011522959,1.0,1
61296000,61296000,0.7,2.9502241e-06,-0.087447464,1.000593,0.0008491697,1.0,1
61392000,61392000,0.7,2.9392422e-06,-0.10299909,1.0005922,0.0011780593,1.0,1
61496000,61496000,0.7,2.9275413e-06,-0.09947961,1.0005871,0.0010989318,1.0,1
61592000,61592000,0.7,2.9169535e-06,-0.0995387,1.0005853,0.0011002396,1.0,1
61696000,61696000,0.7,2.9056037e-06,-0.09452792,1.0005845,0.0009922564,1.0,1
61792000,61792000,0.7,2.8952481e-06,-0.08702679,1.0005829,0.0008410278,1.0,1
61896000,61896000,0.7,2.8842367e-06,-0.055437174,1.0005777,0.0003412784,1.0,1
61992000,61992000,0.7,2.8742966e-06,-0.13000455,1.0005748,0.0018768305,1.0,1
62096000,62096000,0.7,2.86367e-06,-0.10802952,1.0005738,0.001295965,1.0,1
62192000,62192000,0.7,2.853957e-06,-0.07312879,1.0005729,0.000593862,1.0,1
62296000,62296000,0.7,2.8436214e-06,-0.044556815,1.000568,0.00022046475,1.0,1
62400000,62400000,0.7,2.8335053e-06,-0.10230508,1.0005655,0.0011622681,1.0,1
62496000,62496000,0.7,2.8242807e-06,-0.12949821,1.0005648,0.001862258,1.0,1
