timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],estimator_instance,fusion_enabled,innovation_rejected,fused
25208000,25086000,25128000,0,-0.01,0.0,0.0,0.09,0.09,0.20250002,0.0010628076,-0.031133845,0.04751863,0.10686101,0.10685892,0.21624926,4.2281465e-07,0.00036283967,0.00041766991,0,1,0,1
25408000,25290000,25328000,0,0.0,0.0,-0.04,0.09,0.09,0.20250002,-0.011114939,-0.029835455,0.085286245,0.10535892,0.105357185,0.21562526,4.6903242e-05,0.00033795676,0.0013493305,0,1,0,1
25808000,25690000,25728000,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.013958249,-0.032414872,0.043282464,0.105992064,0.10599008,0.21599469,7.352729e-05,0.0003965367,0.0003469292,0,1,0,1
26208000,26090000,26128000,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.018873341,-0.033580165,0.049062397,0.10646094,0.106459565,0.21635304,0.00013383426,0.00042368294,0.00044503537,0,1,0,1
26608000,26486000,26528000,0,0.0,0.0,-0.01,0.09,0.09,0.20250002,-0.019881016,-0.036285535,0.06185227,0.106794894,0.10679315,0.21657665,0.00014804259,0.00049315527,0.0007065772,0,1,0,1
26808000,26690000,26728000,0,0.0,0.01,0.02,0.09,0.09,0.20250002,-0.020582797,-0.043787345,0.03075236,0.10523568,0.10523477,0.2158833,0.00016102962,0.0007287825,0.00017522574,0,1,0,1
27208000,27086000,27128000,0,0.0,0.0,-0.02,0.09,0.09,0.20250002,-0.02510272,-0.03593769,0.07657914,0.10577561,0.10577601,0.21620435,0.00023829559,0.00048839714,0.001084967,0,1,0,1
27408000,27290000,27328000,0,-0.01,0.02,0.0,0.09,0.09,0.20250002,-0.01656601,-0.053714406,0.054158643,0.10448842,0.104489535,0.21559656,0.000105057654,0.0011045077,0.00054419396,0,1,0,1
27808000,27690000,27728000,0,0.0,0.01,-0.03,0.09,0.09,0.20250002,-0.03327046,-0.044208184,0.09405833,0.105137445,0.10513944,0.21598141,0.00042113385,0.000743532,0.0016384687,0,1,0,1
28208000,28090000,28128000,0,0.0,-0.01,0.0,0.09,0.09,0.20250002,-0.03577395,-0.023935517,0.06827467,0.105646014,0.10564785,0.21628389,0.00048455235,0.00021691268,0.0008620948,0,1,0,1
