timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,open_drone_id_system_healthy,parachute_system_healthy
32452000,4000000.0,1.0,25216.137,0.0,13584,0,1829.6813,907,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33452000,4000000.0,1.0,25468.129,0.0,14020,0,1894.4224,950,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34452000,4000000.0,1.0,25344.623,0.0,14457,0,1847.6096,992,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35452000,4000000.0,1.0,25750.0,0.0,14890,0,1829.6813,1034,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36452000,4000000.0,1.0,25297.809,0.0,15327,0,1854.5818,1076,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37452000,4000000.0,1.0,25445.22,0.0,15761,0,1829.6813,1118,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38452000,4000000.0,1.0,25307.77,0.0,16198,0,1829.6813,1160,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39452000,4000000.0,1.0,25629.482,0.0,16635,0,1874.5021,1203,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40452000,4000000.0,1.0,25808.766,0.0,17073,0,1829.6813,1245,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41452000,4000000.0,1.0,25719.125,0.0,17507,0,1829.6813,1287,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42452000,4000000.0,1.0,25446.217,0.0,17945,0,1829.6813,1329,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
43452000,4000000.0,1.0,25662.352,0.0,18379,0,1829.6813,1371,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44452000,4000000.0,1.0,25460.16,0.0,18815,0,1854.5818,1413,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45452000,4000000.0,1.0,25680.28,0.0,19250,0,1894.4224,1455,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
46452000,4000000.0,1.0,25488.049,0.0,19686,0,1829.6813,1497,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47452000,4000000.0,1.0,25609.562,0.0,20120,0,1829.6813,1539,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48452000,4000000.0,1.0,25718.129,0.0,20558,0,1829.6813,1581,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49452000,4000000.0,1.0,25661.355,0.0,20992,0,1829.6813,1623,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50452000,4000000.0,1.0,25521.914,0.0,21428,0,1829.6813,1665,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51452000,4000000.0,1.0,25692.232,0.0,21863,0,1829.6813,1707,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52452000,4000000.0,1.0,25462.152,0.0,22300,0,1829.6813,1749,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53448000,4000000.0,1.0,25652.39,0.0,22733,0,1829.6813,1791,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
54448000,4000000.0,1.0,25488.049,0.0,23171,0,1829.6813,1833,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
55448000,4000000.0,1.0,25709.164,0.0,23605,0,1829.6813,1875,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
56448000,4000000.0,1.0,26000.996,0.0,24041,0,1829.6813,1917,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
57448000,4000000.0,1.0,25554.781,0.0,24476,0,1829.6813,1959,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
58448000,4000000.0,1.0,25501.992,0.0,24913,0,1894.4224,2001,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
59448000,4000000.0,1.0,25648.406,0.0,25346,0,1829.6813,2043,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
