timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],estimator_instance,fusion_enabled,innovation_rejected,fused
36808000,36690000,36728000,0,0.0,0.0,1.0,1.0,0.011517443,-0.027507227,1.1098753,1.1098574,4.7807707e-06,2.7270082e-05,0,1,0,1
37208000,37090000,37128000,0,0.0,0.0,1.0,1.0,0.009071889,-0.03446678,1.1124308,1.1124115,2.9592557e-06,4.271653e-05,0,1,0,1
37608000,37490000,37528000,0,0.0,0.00752684,1.0,1.0,0.0063913437,-0.050574347,1.1147552,1.1147351,1.4657667e-06,9.178017e-05,0,1,0,1
38008000,37890000,37928000,0,0.0,0.0,1.0,1.0,0.0069415215,-0.04346804,1.1168282,1.116808,1.7257702e-06,6.767395e-05,0,1,0,1
38408000,38286000,38328000,0,0.0,0.0,1.0,1.0,0.0034925945,-0.046997737,1.1186455,1.118626,4.3617806e-07,7.898215e-05,0,1,0,1
38608000,38490000,38528000,0,0.0,0.0,1.0,1.0,0.002635812,-0.037595134,1.1093241,1.1093099,2.5051307e-07,5.0964805e-05,0,1,0,1
39008000,38886000,38928000,0,0.0,0.00752684,1.0,1.0,0.0009456655,-0.047411386,1.1119606,1.1119457,3.2169602e-08,8.086148e-05,0,1,0,1
39208000,39090000,39128000,0,0.0,0.0,1.0,1.0,0.00044008673,-0.031812657,1.1041602,1.1041489,7.0162405e-09,3.6663358e-05,0,1,0,1
39608000,39486000,39528000,0,0.0,0.0,1.0,1.0,0.0025480327,-0.029087212,1.1073153,1.1073027,2.3453015e-07,3.056313e-05,0,1,0,1
39808000,39690000,39728000,0,0.0,0.0,1.0,1.0,0.004204447,-0.020906558,1.100485,1.1004754,6.4253027e-07,1.5887103e-05,0,1,0,1
40208000,40086000,40128000,0,0.0,0.0,1.0,1.0,0.008654213,-0.023801334,1.1040113,1.1040006,2.7135736e-06,2.0525478e-05,0,1,0,1
40608000,40490000,40528000,0,0.0,0.0,1.0,1.0,0.015809076,-0.0233837,1.1073414,1.10733,9.027997e-06,1.9751924e-05,0,1,0,1
41008000,40890000,40928000,0,0.0,0.00752684,1.0,1.0,0.022327675,-0.03321239,1.1104051,1.1103936,1.7958311e-05,3.973592e-05,0,1,0,1
41208000,41090000,41128000,0,0.0,0.00752684,1.0,1.0,0.015848046,-0.027335394,1.1028812,1.1028725,9.109252e-06,2.7101005e-05,0,1,0,1
41608000,41490000,41528000,0,0.0,0.0,1.0,1.0,0.018697174,-0.02238976,1.1063399,1.1063313,1.263931e-05,1.812482e-05,0,1,0,1
42008000,41886000,41928000,0,0.0,0.0,1.0,1.0,0.023089482,-0.023462288,1.1095595,1.1095489,1.9219307e-05,1.9845145e-05,0,1,0,1
42208000,42090000,42128000,0,0.022238985,-0.01505368,1.0,1.0,0.009722333,-0.009695895,1.1022253,1.1022192,3.4302884e-06,3.4116763e-06,0,1,0,1
42608000,42486000,42528000,0,0.07783645,-0.06774156,1.0,1.0,-0.00062245876,-0.01649639,1.1059328,1.1059499,1.4013686e-08,9.842432e-06,0,1,0,1
43008000,42890000,42928000,0,0.13343391,-0.13548312,1.0,1.0,-0.012096234,-0.0036352426,1.1092747,1.1093006,5.2761993e-06,4.7651605e-07,0,1,0,1
43408000,43290000,43328000,0,0.17791189,-0.15806364,1.0,1.0,-0.025832012,-0.015539616,1.112254,1.1122642,2.3997858e-05,8.6842565e-06,0,1,0,1
43808000,43690000,43728000,0,0.18903138,-0.15806364,1.0,1.0,-0.017789796,-0.014740065,1.1148741,1.1148617,1.1354711e-05,7.795388e-06,0,1,0,1
44208000,44090000,44128000,0,0.20015086,-0.14300996,1.0,1.0,-0.01920718,-0.019539401,1.1169752,1.1169517,1.3211243e-05,1.3672505e-05,0,1,0,1
44608000,44490000,44528000,0,0.21127036,-0.10537575,1.0,1.0,-0.036454335,-0.030931473,1.1183387,1.1184063,4.7531877e-05,3.421855e-05,0,1,0,1
45008000,44890000,44928000,0,0.20015086,-0.06774156,1.0,1.0,-0.031644598,-0.03276228,1.1198952,1.1202755,3.5766938e-05,3.832511e-05,0,1,0,1
45408000,45290000,45328000,0,0.17791188,-0.02258052,1.0,1.0,-0.020167261,-0.038590245,1.1219087,1.1227117,1.4500946e-05,5.305751e-05,0,1,0,1
45808000,45690000,45728000,0,0.1556729,0.0,1.0,1.0,-0.0109971315,-0.026858205,1.1241776,1.125276,4.3031246e-06,2.5642179e-05,0,1,0,1
46208000,46086000,46128000,0,0.12231442,0.0075268396,1.0,1.0,0.0024986938,-0.012770653,1.1263243,1.127502,2.2172905e-07,5.7858724e-06,0,1,0,1
46608000,46490000,46528000,0,0.08895594,0.0075268396,1.0,1.0,0.0072056204,-0.01717676,1.1281189,1.1292307,1.8409748e-06,1.0451047e-05,0,1,0,1
47008000,46890000,46928000,0,0.04447797,-0.01505368,1.0,1.0,0.012211461,-0.011631886,1.1295125,1.1304953,5.280854e-06,4.7873095e-06,0,1,0,1
47408000,47286000,47328000,0,0.0,-0.0376342,1.0,1.0,0.018782435,0.0021899827,1.1305425,1.1313854,1.2481791e-05,1.6956288e-07,0,1,0,1
47808000,47690000,47728000,0,-0.022238985,-0.06021472,1.0,1.0,0.012015014,0.0010879152,1.1312712,1.1319895,5.104366e-06,4.1822275e-08,0,1,0,1
48208000,48086000,48128000,0,-0.04447797,-0.06774156,1.0,1.0,0.014999742,-0.003482908,1.1317554,1.132361,7.951975e-06,4.2850814e-07,0,1,0,1
48408000,48290000,48328000,0,-0.05559746,-0.0752684,1.0,1.0,0.011713117,-0.005254425,1.1181518,1.1185005,4.9079963e-06,9.873571e-07,0,1,0,1
48808000,48690000,48728000,0,-0.04447797,-0.08279524,1.0,1.0,0.001084432,0.0028646216,1.1205201,1.1208557,4.1980247e-08,2.928497e-07,0,1,0,1
49208000,49086000,49128000,0,-0.033358477,-0.09032208,1.0,1.0,-0.0026671402,0.010892615,1.1225152,1.1228237,2.534892e-07,4.22681e-06,0,1,0,1
49408000,49290000,49328000,0,-0.033358477,-0.09032208,1.0,1.0,-3.3099204e-05,0.0024442077,1.1118301,1.1120375,3.941456e-11,2.1489026e-07,0,1,0,1
49808000,49690000,49728000,0,-0.011119491,-0.08279524,1.0,1.0,-0.009904084,-0.000780493,1.1147581,1.1149579,3.5197186e-06,2.1854435e-08,0,1,0,1
50208000,50090000,50128000,0,0.011119492,-0.0752684,1.0,1.0,-0.016624719,-0.002738297,1.117318,1.1175013,9.894453e-06,2.6839416e-07,0,1,0,1
50608000,50490000,50528000,0,0.022238985,-0.06774156,1.0,1.0,-0.012317658,0.0011391193,1.1194873,1.119651,5.4212214e-06,4.6357044e-08,0,1,0,1
51008000,50890000,50928000,0,0.04447797,-0.06021472,1.0,1.0,-0.020151256,0.0029467642,1.1212792,1.121424,1.4486066e-05,3.0972836e-07,0,1,0,1
51408000,51290000,51328000,0,0.055597465,-0.04516104,1.0,1.0,-0.020568017,0.0006028414,1.1227275,1.122853,1.5071986e-05,1.2946225e-08,0,1,0,1
51808000,51686000,51728000,0,0.055597465,-0.037634198,1.0,1.0,-0.013788011,0.005191583,1.1238729,1.123981,6.7662186e-06,9.591812e-07,0,1,0,1
52008000,51890000,51928000,0,0.055597465,-0.030107358,1.0,1.0,-0.01236723,-0.004511906,1.1131866,1.1132668,5.4958755e-06,7.314435e-07,0,1,0,1
