timestamp,armed_time,takeoff_time,nav_state_timestamp,failure_detector_status,arming_state,latest_arming_reason,latest_disarming_reason,nav_state_user_intention,nav_state,hil_state,vehicle_type,failsafe,failsafe_and_user_took_over,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,is_vtol,is_vtol_tailsitter,in_transition_mode,in_transition_to_fw,system_type,system_id,component_id,safety_button_available,safety_off,power_input_valid,usb_connected,open_drone_id_system_present,open_drone_id_system_healthy,parachute_system_present,parachute_system_healthy,avoidance_system_required,avoidance_system_valid,rc_calibration_in_progress,calibration_enabled,pre_flight_checks_pass
60160000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
60664000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
61168000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
61672000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
62176000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
62680000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
63184000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
63688000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
64192000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
64696000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
65200000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
65704000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
66208000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
66712000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
67216000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
67720000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
68224000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
68728000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
69232000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
69736000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
70240000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
70744000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
71248000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
71752000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
72256000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
72760000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
73264000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
73768000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
74272000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
74776000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
75280000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
75784000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
76288000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
76792000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
77296000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
77800000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
78304000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
78808000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
79312000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
79816000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
