timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
36208000,36090000,0.00022670694,0.0012314932,0.0026203431,1,0,0,0,0,0,0,0,0,0,0
36608000,36490000,0.00021763865,0.00018430862,0.0025155293,1,0,0,0,0,0,0,0,0,0,0
36808000,36690000,0.00021328588,0.00042057387,0.0024611303,1,0,0,0,0,0,0,0,0,0,0
37208000,37090000,0.00020475445,0.00020233486,0.0028089096,1,0,0,0,0,0,0,0,0,0,0
37608000,37490000,0.0005947256,0.0008961458,0.0026965532,1,0,0,0,0,0,0,0,0,0,0
38008000,37890000,0.00021487518,6.0739345e-05,0.0028305433,1,0,0,0,0,0,0,0,0,0,0
38408000,38286000,0.00020636612,0.0004421542,0.0027184538,1,0,0,0,0,0,0,0,0,0,0
38608000,38490000,0.00020215625,6.735406e-05,0.0026197636,1,0,0,0,0,0,0,0,0,0,0
39008000,38886000,0.00058749196,0.0012353619,0.0025160208,1,0,0,0,0,0,0,0,0,0,0
39208000,39090000,0.0002039253,0.0007096722,0.0020642031,1,0,0,0,0,0,0,0,0,0,0
39608000,39486000,0.00019584985,0.00038249695,0.0017423637,1,0,0,0,0,0,0,0,0,0,0
39808000,39690000,0.00019185452,0.00067376625,0.0018106468,1,0,0,0,0,0,0,0,0,0,0
40208000,40086000,0.00018425708,0.0006470851,0.0020433578,1,0,0,0,0,0,0,0,0,0,0
40608000,40490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
41008000,40890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
41208000,41090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
41608000,41490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
42008000,41886000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
42208000,42090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
42608000,42486000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
43008000,42890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
43408000,43290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
43808000,43690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
44208000,44090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
44608000,44490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
45008000,44890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
45408000,45290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
45808000,45690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
46208000,46086000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
46608000,46490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
47008000,46890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
47408000,47286000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
47808000,47690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
48208000,48086000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
48408000,48290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
48808000,48690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
49208000,49086000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
49408000,49290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
49808000,49690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
50208000,50090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
50608000,50490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
51008000,50890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
51408000,51290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
51808000,51686000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
52008000,51890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
52408000,52286000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
52608000,52490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
53008000,52890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
53408000,53286000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
53808000,53690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
54008000,53890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
